(87, 63, 37)
(74, 50, 26)
(77, 53, 29)
(71, 47, 23)
(76, 52, 28)
(64, 39, 17)
(71, 46, 24)
(70, 45, 23)
(69, 44, 22)
(67, 42, 20)
(71, 46, 24)
(78, 54, 30)
(76, 52, 28)
(68, 44, 20)
(79, 55, 31)
(65, 41, 15)
(83, 52, 23)
(93, 62, 33)
(88, 57, 28)
(84, 53, 24)
(78, 47, 19)
(82, 52, 24)
(96, 66, 38)
(89, 59, 31)
(81, 54, 27)
(78, 51, 24)
(67, 40, 13)
(82, 56, 31)
(94, 68, 43)
(85, 59, 34)
(84, 58, 33)
(81, 55, 30)
(69, 48, 21)
(79, 58, 31)
(73, 49, 23)
(73, 49, 23)
(72, 46, 21)
(79, 51, 27)
(97, 70, 43)
(77, 47, 21)
(92, 61, 33)
(98, 67, 39)
(99, 68, 39)
(103, 72, 43)
(104, 73, 42)
(85, 54, 23)
(96, 65, 34)
(97, 66, 35)
(89, 60, 30)
(100, 71, 41)
(98, 69, 39)
(97, 68, 38)
(97, 66, 37)
(93, 62, 33)
(86, 55, 26)
(92, 61, 32)
(97, 66, 37)
(101, 70, 41)
(105, 74, 43)
(107, 76, 45)
(71, 38, 7)
(108, 75, 44)
(97, 64, 33)
(98, 65, 34)
(96, 63, 32)
(92, 59, 28)
(93, 62, 31)
(99, 68, 39)
(96, 65, 36)
(96, 66, 38)
(99, 69, 41)
(91, 61, 33)
(83, 53, 25)
(100, 70, 42)
(99, 70, 40)
(100, 69, 40)
(86, 55, 24)
(102, 69, 38)
(99, 66, 33)
(101, 68, 35)
(88, 55, 24)
(98, 64, 36)
(91, 57, 29)
(97, 66, 37)
(94, 63, 35)
(99, 69, 41)
(84, 54, 26)
(84, 57, 28)
(93, 66, 37)
(86, 59, 30)
(88, 58, 30)
(104, 75, 45)
(94, 63, 34)
(102, 71, 40)
(90, 59, 28)
(101, 70, 39)
(103, 70, 39)
(97, 64, 33)
(98, 65, 34)
(91, 58, 27)
(98, 65, 34)
(97, 64, 33)
(103, 70, 39)
(104, 70, 42)
(98, 64, 36)
(91, 57, 29)
(91, 57, 29)
(95, 61, 34)
(87, 53, 26)
(83, 49, 22)
(93, 59, 32)
(98, 64, 37)
(99, 64, 32)
(99, 64, 32)
(111, 76, 46)
(94, 59, 29)
(120, 87, 56)
(110, 77, 46)
(96, 63, 32)
(109, 76, 45)
(105, 72, 41)
(113, 80, 49)
(95, 62, 31)
(99, 66, 35)
(98, 65, 34)
(100, 67, 36)
(108, 74, 46)
(113, 79, 51)
(91, 58, 27)
(93, 60, 29)
(102, 69, 38)
(106, 73, 42)
(115, 82, 51)
(110, 77, 46)
(92, 59, 28)
(98, 65, 34)
(102, 69, 38)
(93, 60, 29)
(108, 75, 44)
(113, 80, 49)
(99, 66, 35)
(83, 50, 19)
(93, 60, 29)
(105, 72, 41)
(98, 63, 35)
(86, 51, 23)
(109, 74, 46)
(90, 55, 27)
(95, 60, 30)
(99, 64, 34)
(77, 42, 12)
(117, 82, 52)
(114, 79, 49)
(96, 61, 31)
(86, 51, 21)
(96, 61, 31)
(110, 75, 43)
(91, 56, 24)
(121, 86, 54)
(107, 72, 40)
(101, 71, 37)
(122, 91, 60)
(82, 55, 26)
(87, 63, 37)
(47, 27, 3)
(56, 38, 16)
(65, 47, 27)
(95, 77, 57)
(92, 74, 52)
(56, 35, 14)
(88, 66, 43)
(70, 48, 25)
(83, 61, 38)
(89, 67, 44)
(58, 37, 16)
(58, 37, 16)
(66, 46, 22)
(84, 64, 40)
(65, 45, 21)
(59, 38, 17)
(59, 38, 17)
(62, 44, 22)
(67, 49, 27)
(58, 40, 20)
(56, 38, 18)
(57, 39, 19)
(60, 43, 25)
(63, 46, 28)
(47, 30, 12)
(57, 40, 22)
(51, 34, 16)
(62, 45, 29)
(50, 33, 15)
(49, 32, 14)
(53, 36, 18)
(63, 46, 28)
(58, 41, 23)
(72, 55, 35)
(70, 52, 32)
(56, 38, 18)
(62, 44, 22)
(66, 45, 24)
(58, 37, 16)
(68, 48, 24)
(60, 38, 15)
(72, 50, 27)
(63, 41, 18)
(66, 44, 21)
(62, 42, 17)
(67, 47, 22)
(63, 43, 19)
(60, 40, 16)
(59, 41, 19)
(56, 38, 18)
(53, 35, 15)
(60, 41, 24)
(60, 41, 24)
(57, 39, 19)
(48, 30, 10)
(51, 33, 11)
(68, 48, 24)
(65, 45, 21)
(68, 48, 23)
(69, 49, 24)
(60, 39, 20)
(64, 43, 22)
(55, 34, 13)
(61, 40, 19)
(65, 43, 20)
(71, 49, 26)
(70, 46, 22)
(68, 44, 20)
(69, 45, 21)
(82, 58, 34)
(77, 53, 29)
(62, 38, 14)
(79, 57, 34)
(75, 53, 30)
(71, 49, 26)
(78, 56, 33)
(62, 40, 17)
(57, 35, 12)
(78, 56, 35)
(58, 36, 15)
(71, 48, 30)
(55, 32, 14)
(65, 42, 24)
(64, 41, 23)
(68, 45, 27)
(76, 50, 33)
(63, 37, 20)
(66, 41, 21)
(103, 78, 58)
(87, 62, 40)
(59, 34, 12)
(69, 44, 22)
(91, 65, 38)
(64, 37, 10)
(91, 64, 35)
(90, 60, 32)
(95, 64, 35)
(91, 57, 29)
(97, 62, 34)
(86, 51, 23)
(72, 38, 11)
(91, 60, 32)
(73, 43, 17)
(67, 41, 18)
(69, 47, 24)
(74, 53, 32)
(68, 50, 30)
(70, 53, 33)
(76, 54, 31)
(82, 58, 34)
(65, 41, 15)
(80, 54, 27)
(98, 69, 39)
(102, 71, 40)
(97, 64, 31)
(103, 70, 35)
(95, 61, 26)
(91, 57, 22)
(92, 58, 23)
(98, 65, 32)
(99, 66, 35)
(91, 60, 31)
(84, 53, 24)
(82, 51, 23)
(95, 64, 35)
(91, 60, 31)
(87, 58, 28)
(87, 58, 28)
(86, 57, 27)
(85, 55, 27)
(87, 57, 29)
(89, 59, 31)
(85, 55, 29)
(86, 56, 30)
(79, 49, 25)
(72, 44, 20)
(76, 48, 24)
(81, 53, 29)
(82, 54, 30)
(81, 53, 31)
(81, 51, 23)
(79, 49, 21)
(82, 52, 24)
(88, 58, 30)
(90, 60, 32)
(86, 56, 28)
(85, 55, 27)
(87, 56, 28)
(89, 58, 30)
(92, 61, 33)
(92, 61, 33)
(89, 58, 30)
(89, 58, 30)
(93, 62, 34)
(93, 62, 34)
(91, 60, 32)
(87, 56, 27)
(92, 61, 32)
(92, 61, 33)
(84, 54, 26)
(76, 49, 22)
(75, 49, 24)
(76, 50, 27)
(75, 51, 27)
(73, 48, 26)
(72, 50, 27)
(68, 46, 23)
(64, 42, 19)
(65, 43, 22)
(66, 44, 21)
(63, 41, 18)
(63, 41, 18)
(65, 41, 17)
(58, 34, 10)
(64, 40, 16)
(68, 46, 22)
(67, 45, 22)
(74, 52, 29)
(81, 59, 36)
(76, 54, 31)
(70, 49, 28)
(71, 50, 29)
(72, 51, 30)
(77, 56, 35)
(59, 41, 19)
(46, 28, 8)
(59, 41, 21)
(61, 43, 23)
(55, 38, 18)
(64, 46, 26)
(74, 56, 34)
(69, 48, 27)
(74, 52, 29)
(74, 49, 27)
(78, 54, 30)
(71, 45, 20)
(47, 19, 0)
(64, 37, 10)
(86, 59, 30)
(101, 74, 45)
(91, 64, 35)
(92, 65, 35)
(100, 75, 44)
(76, 51, 20)
(85, 58, 28)
(104, 77, 47)
(95, 68, 38)
(108, 81, 52)
(98, 73, 43)
(74, 48, 21)
(104, 78, 51)
(93, 67, 40)
(85, 59, 32)
(79, 52, 25)
(95, 68, 41)
(101, 71, 43)
(101, 70, 42)
(102, 71, 42)
(103, 69, 41)
(93, 59, 31)
(100, 69, 38)
(95, 64, 33)
(104, 73, 44)
(84, 54, 26)
(94, 64, 38)
(84, 57, 30)
(86, 58, 34)
(79, 53, 30)
(72, 45, 24)
(92, 67, 45)
(79, 54, 32)
(85, 63, 40)
(82, 60, 37)
(67, 45, 22)
(88, 68, 44)
(83, 63, 39)
(87, 63, 37)
(73, 49, 25)
(76, 52, 28)
(71, 47, 23)
(76, 52, 28)
(64, 39, 17)
(70, 45, 23)
(69, 44, 22)
(69, 44, 22)
(65, 40, 18)
(68, 43, 21)
(75, 51, 27)
(73, 49, 25)
(65, 41, 17)
(76, 52, 28)
(63, 39, 13)
(82, 51, 22)
(90, 59, 30)
(90, 59, 30)
(84, 53, 24)
(79, 48, 20)
(85, 55, 27)
(94, 64, 36)
(89, 59, 31)
(79, 52, 25)
(80, 53, 26)
(72, 45, 18)
(79, 53, 28)
(91, 65, 40)
(78, 52, 27)
(82, 56, 31)
(85, 59, 34)
(68, 47, 20)
(80, 59, 32)
(65, 41, 15)
(81, 57, 31)
(71, 45, 20)
(83, 55, 31)
(87, 60, 33)
(95, 65, 39)
(86, 55, 27)
(91, 60, 32)
(95, 64, 35)
(91, 60, 31)
(105, 74, 43)
(99, 68, 37)
(87, 56, 25)
(82, 51, 20)
(96, 67, 37)
(83, 54, 24)
(94, 65, 35)
(101, 72, 42)
(102, 71, 42)
(89, 58, 29)
(96, 65, 36)
(95, 64, 35)
(83, 52, 23)
(89, 58, 29)
(90, 59, 28)
(103, 72, 41)
(104, 71, 40)
(97, 64, 33)
(105, 72, 41)
(97, 64, 33)
(95, 62, 31)
(98, 65, 34)
(95, 64, 33)
(90, 59, 30)
(103, 72, 43)
(106, 76, 48)
(94, 64, 36)
(103, 73, 45)
(90, 60, 32)
(86, 56, 28)
(100, 71, 41)
(90, 59, 30)
(102, 71, 40)
(88, 55, 24)
(98, 65, 34)
(95, 62, 29)
(98, 65, 34)
(87, 53, 25)
(95, 64, 35)
(91, 60, 31)
(90, 60, 32)
(88, 58, 30)
(97, 67, 39)
(80, 53, 24)
(91, 64, 35)
(84, 57, 28)
(99, 69, 41)
(90, 61, 31)
(91, 60, 31)
(105, 74, 43)
(91, 60, 29)
(91, 60, 29)
(94, 61, 30)
(93, 60, 29)
(93, 60, 29)
(97, 64, 33)
(92, 59, 28)
(100, 67, 36)
(96, 63, 32)
(104, 70, 42)
(107, 73, 45)
(91, 57, 29)
(93, 59, 31)
(95, 61, 33)
(93, 59, 32)
(89, 55, 28)
(82, 48, 21)
(88, 54, 27)
(102, 69, 38)
(94, 61, 30)
(95, 62, 31)
(127, 94, 63)
(98, 65, 34)
(112, 79, 48)
(114, 81, 50)
(105, 72, 41)
(111, 78, 47)
(106, 73, 42)
(106, 73, 42)
(113, 80, 49)
(98, 65, 34)
(111, 78, 47)
(108, 75, 44)
(96, 63, 32)
(87, 54, 23)
(98, 65, 34)
(91, 58, 27)
(105, 72, 41)
(109, 76, 45)
(92, 59, 28)
(97, 64, 33)
(97, 64, 33)
(96, 63, 32)
(107, 74, 43)
(110, 77, 46)
(78, 45, 14)
(87, 54, 23)
(88, 55, 24)
(90, 57, 26)
(87, 54, 23)
(74, 39, 11)
(97, 62, 34)
(101, 66, 38)
(82, 47, 19)
(76, 41, 11)
(82, 47, 17)
(122, 87, 57)
(112, 77, 47)
(100, 65, 35)
(75, 40, 10)
(99, 64, 34)
(115, 80, 50)
(98, 63, 31)
(109, 74, 42)
(97, 62, 30)
(103, 68, 36)
(123, 93, 59)
(132, 103, 71)
(78, 51, 22)
(82, 58, 32)
(53, 33, 9)
(60, 42, 20)
(62, 44, 24)
(77, 59, 39)
(88, 70, 48)
(63, 42, 21)
(77, 55, 32)
(66, 44, 21)
(77, 55, 32)
(78, 56, 33)
(56, 35, 14)
(58, 37, 16)
(64, 44, 20)
(86, 66, 42)
(70, 50, 26)
(67, 46, 25)
(60, 39, 18)
(62, 44, 22)
(62, 44, 22)
(55, 37, 17)
(58, 40, 20)
(59, 41, 21)
(61, 44, 26)
(65, 48, 30)
