(62, 54, 43)
(71, 63, 52)
(77, 69, 58)
(74, 66, 55)
(85, 77, 66)
(75, 67, 54)
(71, 63, 50)
(73, 63, 51)
(88, 78, 66)
(71, 62, 47)
(82, 73, 58)
(83, 74, 59)
(87, 78, 63)
(84, 75, 60)
(83, 74, 57)
(93, 84, 67)
(78, 66, 52)
(85, 73, 59)
(75, 63, 49)
(66, 54, 40)
(68, 58, 46)
(73, 63, 51)
(80, 70, 58)
(75, 65, 53)
(73, 63, 51)
(87, 77, 65)
(84, 74, 62)
(83, 73, 61)
(74, 62, 48)
(67, 55, 41)
(79, 67, 53)
(70, 58, 44)
(77, 65, 51)
(69, 57, 43)
(75, 63, 49)
(80, 68, 54)
(69, 57, 43)
(77, 65, 51)
(73, 61, 47)
(79, 67, 53)
(77, 65, 51)
(77, 65, 51)
(72, 60, 46)
(64, 52, 38)
(66, 54, 40)
(69, 57, 43)
(68, 56, 42)
(80, 68, 54)
(87, 73, 60)
(84, 70, 57)
(89, 75, 62)
(69, 55, 42)
(74, 60, 47)
(72, 58, 45)
(84, 70, 57)
(69, 55, 42)
(93, 79, 66)
(74, 60, 47)
(86, 72, 59)
(92, 78, 65)
(90, 76, 63)
(79, 65, 52)
(76, 62, 49)
(81, 67, 54)
(80, 68, 54)
(94, 82, 66)
(79, 67, 51)
(80, 67, 51)
(88, 75, 59)
(110, 97, 81)
(98, 85, 69)
(112, 99, 82)
(108, 92, 76)
(111, 95, 79)
(123, 108, 89)
(114, 97, 79)
(108, 91, 73)
(122, 105, 87)
(122, 105, 87)
(116, 99, 81)
(110, 94, 78)
(120, 104, 88)
(114, 98, 82)
(105, 89, 73)
(111, 95, 79)
(99, 83, 67)
(104, 88, 72)
(119, 103, 87)
(96, 80, 64)
(94, 78, 62)
(96, 80, 64)
(114, 98, 82)
(102, 86, 70)
(97, 81, 65)
(113, 97, 81)
(96, 80, 64)
(94, 78, 62)
(107, 91, 75)
(120, 104, 88)
(113, 97, 81)
(113, 97, 81)
(120, 104, 88)
(116, 100, 84)
(111, 95, 79)
(113, 97, 81)
(120, 104, 88)
(113, 97, 81)
(128, 112, 96)
(120, 104, 88)
(102, 86, 70)
(99, 83, 67)
(113, 97, 81)
(117, 100, 84)
(110, 93, 77)
(107, 91, 75)
(99, 83, 67)
(109, 93, 77)
(103, 87, 72)
(113, 97, 82)
(88, 75, 59)
(104, 91, 75)
(91, 77, 64)
(91, 77, 64)
(82, 70, 56)
(82, 70, 56)
(94, 82, 68)
(87, 75, 63)
(79, 67, 55)
(84, 74, 64)
(83, 73, 63)
(93, 83, 73)
(85, 75, 65)
(94, 84, 74)
(84, 74, 64)
(89, 79, 69)
(84, 74, 64)
(78, 68, 58)
(81, 71, 61)
(109, 99, 89)
(87, 77, 67)
(79, 69, 59)
(85, 75, 65)
(73, 63, 53)
(73, 63, 53)
(70, 62, 49)
(83, 75, 62)
(84, 76, 63)
(93, 85, 72)
(80, 72, 59)
(95, 85, 73)
(78, 68, 56)
(95, 85, 73)
(88, 78, 66)
(86, 76, 64)
(66, 57, 42)
(77, 68, 53)
(95, 86, 71)
(81, 69, 55)
(88, 76, 62)
(87, 75, 61)
(97, 81, 66)
(88, 72, 57)
(99, 83, 68)
(100, 84, 69)
(97, 81, 66)
(103, 87, 72)
(104, 88, 73)
(109, 93, 78)
(108, 92, 77)
(115, 102, 86)
(103, 90, 74)
(111, 98, 82)
(104, 91, 75)
(114, 101, 85)
(113, 100, 84)
(118, 105, 89)
(112, 96, 81)
(119, 103, 88)
(109, 93, 78)
(103, 87, 72)
(114, 98, 83)
(127, 111, 95)
(121, 108, 91)
(103, 90, 73)
(105, 92, 75)
(114, 101, 85)
(108, 95, 79)
(126, 112, 99)
(91, 77, 64)
(81, 67, 54)
(98, 84, 73)
(105, 91, 80)
(86, 72, 59)
(76, 62, 49)
(110, 97, 81)
(111, 98, 82)
(111, 98, 82)
(120, 107, 91)
(113, 100, 84)
(106, 93, 77)
(105, 92, 76)
(118, 105, 89)
(118, 102, 87)
(118, 102, 86)
(123, 107, 91)
(119, 103, 87)
(116, 100, 84)
(114, 98, 82)
(105, 92, 76)
(109, 96, 80)
(121, 108, 91)
(132, 119, 102)
(116, 100, 84)
(119, 103, 87)
(124, 108, 92)
(119, 103, 87)
(114, 98, 82)
(117, 101, 85)
(120, 104, 88)
(116, 100, 85)
(107, 94, 78)
(110, 96, 83)
(91, 77, 64)
(101, 87, 74)
