(40, 36, 35)
(42, 38, 37)
(42, 38, 37)
(41, 37, 36)
(40, 36, 35)
(40, 36, 35)
(40, 36, 35)
(40, 36, 35)
(39, 35, 36)
(38, 34, 33)
(39, 35, 34)
(40, 36, 35)
(41, 37, 36)
(40, 36, 35)
(40, 34, 34)
(40, 34, 34)
(40, 39, 37)
(39, 35, 32)
(41, 33, 30)
(46, 33, 27)
(61, 44, 37)
(60, 41, 35)
(64, 43, 38)
(60, 39, 34)
(64, 40, 36)
(62, 43, 37)
(57, 42, 35)
(54, 43, 37)
(52, 41, 35)
(50, 39, 33)
(56, 41, 38)
(57, 39, 37)
(52, 41, 35)
(49, 38, 32)
(50, 39, 35)
(49, 38, 34)
(56, 45, 41)
(52, 41, 37)
(51, 42, 37)
(46, 37, 32)
(52, 43, 38)
(45, 36, 31)
(49, 40, 35)
(47, 36, 32)
(50, 39, 35)
(52, 38, 35)
(52, 38, 35)
(52, 38, 35)
(49, 40, 35)
(49, 38, 34)
(41, 30, 26)
(46, 35, 31)
(51, 40, 36)
(49, 38, 34)
(52, 41, 37)
(55, 41, 38)
(49, 38, 34)
(52, 41, 37)
(56, 42, 39)
(55, 41, 38)
(53, 39, 36)
(53, 39, 36)
(55, 42, 36)
(59, 46, 40)
(48, 38, 36)
(51, 41, 39)
(47, 37, 35)
(50, 40, 38)
(47, 36, 32)
(48, 37, 33)
(52, 41, 37)
(50, 39, 33)
(52, 42, 33)
(51, 40, 34)
(50, 36, 33)
(54, 40, 39)
(48, 37, 35)
(47, 37, 35)
(43, 35, 32)
(44, 39, 35)
(56, 42, 31)
(58, 41, 33)
(62, 45, 37)
(61, 42, 36)
(61, 44, 37)
(64, 49, 44)
(66, 55, 49)
(50, 41, 34)
(61, 43, 39)
(62, 44, 40)
(58, 43, 38)
(59, 44, 39)
(57, 42, 37)
(58, 45, 39)
(56, 43, 37)
(57, 44, 38)
(61, 43, 39)
(57, 39, 35)
(60, 42, 38)
(58, 43, 38)
(61, 46, 41)
(56, 41, 36)
(57, 44, 38)
(58, 45, 39)
(63, 42, 37)
(68, 49, 43)
(53, 38, 31)
(57, 44, 38)
(60, 47, 41)
(52, 39, 33)
(58, 43, 38)
(59, 41, 37)
(58, 45, 39)
(55, 44, 38)
(38, 29, 24)
(40, 30, 28)
(45, 35, 33)
(55, 44, 40)
(56, 43, 37)
(55, 40, 35)
(48, 37, 33)
(56, 42, 39)
(62, 47, 44)
(60, 46, 43)
(52, 43, 38)
(46, 38, 35)
(47, 37, 35)
(51, 40, 38)
(46, 39, 33)
(48, 39, 34)
(50, 39, 35)
(53, 39, 36)
(53, 39, 36)
(51, 40, 36)
(49, 40, 35)
(47, 40, 34)
(50, 41, 34)
(47, 38, 33)
(46, 38, 35)
(47, 39, 36)
(46, 38, 36)
(47, 37, 35)
(49, 38, 36)
(47, 36, 32)
(50, 36, 33)
(46, 35, 31)
(48, 39, 34)
(45, 38, 32)
(49, 42, 36)
(45, 36, 31)
(50, 39, 35)
(53, 39, 36)
(49, 39, 37)
(45, 40, 36)
(51, 40, 38)
(43, 38, 34)
(51, 40, 38)
(44, 36, 34)
(47, 35, 35)
(52, 42, 41)
(49, 41, 38)
(46, 41, 38)
(37, 36, 32)
(36, 36, 34)
(38, 38, 36)
(39, 35, 32)
(42, 37, 34)
(49, 39, 37)
(38, 34, 31)
(40, 35, 32)
(49, 39, 38)
(49, 41, 39)
(45, 40, 37)
(39, 35, 32)
(38, 33, 29)
(49, 39, 37)
(45, 34, 30)
(47, 36, 32)
(53, 42, 38)
(55, 44, 40)
(52, 42, 40)
(52, 42, 40)
(51, 41, 39)
(48, 40, 37)
(48, 38, 36)
(51, 41, 39)
(49, 39, 37)
(52, 42, 40)
(47, 37, 35)
(53, 43, 41)
(49, 39, 37)
(51, 41, 39)
(56, 45, 43)
(48, 37, 35)
(46, 35, 33)
(51, 40, 38)
