(69, 51, 37)
(72, 54, 40)
(63, 45, 31)
(54, 36, 22)
(55, 37, 23)
(57, 39, 25)
(61, 42, 28)
(65, 46, 32)
(66, 48, 34)
(64, 46, 32)
(47, 29, 15)
(51, 33, 19)
(63, 45, 31)
(59, 40, 26)
(59, 39, 28)
(60, 40, 29)
(61, 44, 26)
(61, 45, 30)
(48, 35, 26)
(34, 24, 15)
(33, 23, 14)
(39, 25, 14)
(45, 29, 14)
(53, 36, 18)
(59, 38, 17)
(65, 39, 22)
(67, 39, 27)
(67, 40, 29)
(59, 37, 26)
(46, 28, 14)
(45, 28, 12)
(51, 32, 15)
(58, 35, 21)
(63, 40, 26)
(67, 44, 30)
(65, 42, 28)
(63, 40, 26)
(65, 38, 27)
(66, 38, 27)
(65, 37, 26)
(55, 42, 25)
(47, 31, 16)
(42, 24, 10)
(44, 24, 13)
(55, 36, 22)
(65, 46, 31)
(60, 43, 23)
(49, 34, 11)
(22, 19, 4)
(24, 14, 4)
(35, 18, 8)
(47, 24, 16)
(58, 31, 20)
(71, 45, 30)
(79, 54, 34)
(71, 49, 26)
(62, 41, 36)
(50, 29, 24)
(36, 16, 9)
(39, 19, 10)
(52, 28, 16)
(68, 39, 25)
(87, 51, 35)
(93, 54, 37)
(99, 65, 37)
(95, 64, 36)
(91, 63, 39)
(81, 56, 34)
(69, 46, 28)
(66, 47, 30)
(69, 50, 35)
(66, 47, 32)
(42, 36, 22)
(33, 25, 12)
(29, 19, 7)
(29, 15, 2)
(30, 12, 0)
(33, 14, 0)
(46, 22, 10)
(62, 38, 26)
(74, 50, 24)
(67, 43, 15)
(75, 51, 23)
(80, 59, 30)
(72, 52, 25)
(69, 51, 29)
(64, 45, 30)
(46, 27, 13)
(26, 11, 4)
(33, 14, 7)
(47, 24, 16)
(58, 31, 20)
(63, 35, 21)
(67, 38, 22)
(70, 43, 26)
(78, 51, 34)
(75, 59, 33)
(70, 52, 30)
(66, 40, 25)
(61, 33, 21)
(59, 31, 20)
(55, 31, 19)
(50, 31, 17)
(47, 31, 16)
(11, 10, 6)
(6, 2, 0)
(8, 0, 0)
(14, 3, 0)
(21, 4, 0)
(32, 12, 5)
(53, 29, 19)
(67, 40, 29)
(66, 43, 27)
(50, 27, 11)
(44, 21, 5)
(56, 35, 16)
(65, 44, 25)
(64, 46, 26)
(62, 44, 22)
(56, 38, 16)
(43, 29, 20)
(26, 9, 0)
(25, 6, 0)
(48, 25, 11)
(59, 36, 20)
(60, 38, 24)
(60, 41, 26)
(52, 35, 19)
(50, 28, 7)
(53, 30, 12)
(48, 25, 9)
(45, 23, 9)
(58, 36, 23)
(54, 32, 19)
(33, 14, 0)
(32, 13, 0)
(63, 42, 21)
(74, 53, 32)
(63, 42, 25)
(48, 26, 12)
(49, 27, 14)
(54, 34, 23)
(58, 38, 27)
(52, 34, 22)
(43, 21, 7)
(39, 17, 4)
(39, 15, 3)
(41, 17, 5)
(45, 23, 10)
(49, 30, 15)
(46, 29, 13)
(43, 27, 11)
(42, 23, 9)
(45, 23, 10)
(49, 27, 14)
(47, 28, 14)
(46, 30, 15)
(48, 30, 16)
(53, 31, 18)
(66, 38, 27)
(74, 49, 29)
(65, 39, 22)
(52, 29, 13)
(50, 29, 12)
(56, 37, 22)
(53, 36, 20)
(47, 30, 12)
(50, 35, 16)
(56, 39, 29)
(47, 29, 17)
(40, 21, 4)
(52, 30, 9)
(73, 49, 25)
(80, 54, 31)
(72, 46, 23)
(66, 40, 17)
(59, 40, 25)
(59, 38, 21)
(59, 36, 18)
(62, 37, 17)
(65, 40, 18)
(71, 46, 24)
(73, 48, 26)
(70, 45, 23)
(55, 29, 14)
(42, 19, 3)
(45, 22, 6)
(50, 29, 12)
(46, 25, 8)
(43, 24, 9)
(46, 27, 12)
(40, 21, 6)
(36, 17, 13)
(36, 17, 10)
(37, 19, 7)
(34, 17, 1)
(40, 23, 5)
(43, 25, 5)
(51, 33, 13)
(57, 39, 19)
(58, 38, 13)
(55, 33, 10)
(52, 26, 11)
(52, 24, 13)
(53, 26, 17)
(51, 29, 18)
(44, 27, 11)
(37, 24, 5)
(39, 17, 6)
(35, 13, 2)
(37, 18, 4)
(43, 24, 9)
(47, 30, 14)
(49, 30, 16)
(43, 24, 10)
(41, 21, 10)
(41, 24, 6)
(48, 30, 10)
(68, 46, 22)
(73, 49, 21)
(70, 44, 19)
(65, 37, 16)
(50, 22, 8)
(51, 23, 12)
(50, 26, 22)
(51, 31, 24)
(54, 34, 25)
(62, 42, 31)
(62, 42, 31)
(64, 44, 35)
(68, 48, 41)
(63, 42, 37)
(58, 39, 25)
(44, 26, 12)
(27, 9, 0)
(30, 12, 2)
(35, 18, 10)
(24, 7, 0)
(24, 9, 2)
(23, 8, 1)
(32, 12, 5)
(42, 22, 15)
(38, 18, 9)
(33, 13, 4)
(36, 16, 5)
(36, 16, 5)
(39, 20, 6)
(44, 25, 11)
(41, 26, 5)
(51, 34, 14)
(53, 34, 17)
(48, 26, 12)
(51, 29, 16)
